,PMIDs
1671,12511760
1672,11584487
1673,429666
1674,2785684
1675,8525757
1676,12838090
1677,17723973
1678,1176682
1679,9599500
1680,13457517
1681,1592959
1682,14736356
1683,14673962
1684,14676759
1685,8455969
1686,715134
1687,1276560
1688,6993630
1689,8298547
1690,7852064
1691,10227503
1692,180196
1693,2186066
1694,2319049
1695,9685273
1696,7009424
1697,17762803
1698,10754625
1699,7562226
1700,16505266
1701,2746644
1702,15712768
1703,16005336
1704,5148984
1705,11932074
1706,2244793
1707,4393993
1708,11692097
1709,2417648
1710,12727703
1711,15857102
1712,15082950
1713,2914008
1714,6157943
1715,3419838
1716,3109581
1717,13313802
1718,5561488
1719,10087722
1720,6630328
1721,16928840
1722,15857741
1723,12207762
1724,17090809
1725,3228551
1726,12364304
1727,12364304
1728,239972
1729,16599101
1730,8466094
1731,2905797
1732,16567610
1733,3780291
1734,6777804
1735,6354318
1736,6646208
1737,8849353
1738,10051763
1739,850005
1740,1856301
1741,7956382
1742,12406534
1743,6657038
1744,8623811
1745,4004703
1746,16249982
1747,11313615
1748,13248289
1749,14670399
1750,16055451
1751,12550145
1752,17242083
1753,10228253
1754,17015192
1755,7923801
1756,6271814
1757,15673998
1758,15836978
1759,2186067
1760,16710890
1761,9249122
1762,2220345
1763,8823699
1764,15784799
1765,3279091
1766,16846450
1767,8712394
1768,10203120
1769,15547458
1770,12126174
1771,6213641
1772,15569875
1773,12825916
1774,8505112
1775,16719616
1776,20989258
1777,12919430
1778,8997686
1779,12352272
1780,2244639
1781,17699546
1782,393734
1783,15478785
1784,11382795
1785,3075649
1786,3538985
1787,11105182
1788,10574854
1789,16818924
1790,16776486
1791,2145384
1792,15870415
1793,18408049
1794,12198060
1795,17063108
1796,9439561
1797,16698351
1798,9313279
1799,2521722
1800,8441570
1801,356078
1802,12614526
1803,11767314
1804,11246937
1805,8263455
1806,3369332
1807,11775648
1808,1624722
1809,7761291
1810,8708586
1811,4844912
1812,7435246
1813,6995617
1814,2749352
1815,14551548
1816,7345161
1817,7250779
1818,17244293
1819,10548619
1820,17069813
1821,9627287
1822,18343810
1823,372448
1824,12708131
1825,7480981
1826,9116877
1827,12645832
1828,12588635
1829,12639402
1830,381193
1831,5047617
1832,16308544
1833,15154607
1834,12117049
1835,9014601
1836,3432562
1837,15641632
1838,9810030
1839,15693916
1840,2717651
1841,14720270
1842,4885561
1843,15240203
1844,11212135
1845,6487909
1846,3693660
1847,12690582
1848,11784832
1849,12883103
1850,4074113
1851,10780138
1852,11777121
1853,11527284
1854,8116338
1855,12583502
1856,1582380
1857,10731452
1858,14644967
1859,8105673
1860,7994223
1861,12782900
1862,6549638
1863,8831651
1864,10757101
1865,9093045
1866,11786452
1867,2360750
1868,8291821
1869,8147544
1870,7118100
1871,8045547
1872,13969947
1873,5345174
1874,9117472
1875,8916239
1876,8354510
1877,10401508
1878,122450
1879,10826032
1880,5163677
1881,2222157
1882,22151496
1883,19487623
1884,15602505
1885,11466160
1886,8369641
1887,8911223
1888,2745390
1889,16119478
1890,2493400
1891,3351815
1892,395519
1893,2523321
1894,2529770
1895,2525337
1896,1386029
1897,17178185
1898,7577849
1899,10899492
1900,1595789
1901,2974428
1902,10428523
1903,3107721
1904,11679528
1905,7977520
1906,10325289
1907,1531464
1908,2974428
1909,11937116
1910,9548161
1911,9766764
1912,108739
1913,3536890
1914,12128237
1915,8104964
1916,3907277
1917,3316312
1918,17010858
1919,9159691
1920,11190013
1921,15975461
1922,15313288
1923,17399674
1924,15899448
1925,18655983
1926,12106717
1927,9869784
1928,10831902
1929,12954305
1930,15453848
1931,14736768
1932,9850900
1933,16005976
1934,15093639
1935,16931265
1936,12954304
1937,9379635
1938,16581420
1939,17553447
1940,15148204
1941,12113567
1942,12948312
1943,9474601
1944,15121364
1945,15808167
1946,15030818
1947,15130632
1948,15519082
1949,1501083
1950,11008045
1951,12449218
1952,10844047
1953,10646147
1954,17202203
1955,15715551
1956,15983779
1957,10511019
1958,1927314
1959,11566517
1960,18721708
1961,9917780
1962,16168485
1963,19185241
1964,17321391
1965,17318205
1966,2668133
1967,3339551
1968,18321585
1969,12446370
1970,15629822
1971,15342049
1972,15050264
1973,15506598
1974,15465544
1975,15299988
1976,17124239
1977,17822973
1978,12646745
1979,3535823
1980,16546539
1981,19202343
1982,8250430
1983,20828455
1984,3890463
1985,15350711
1986,22322126
1987,10048612
1988,12166794
1989,12081124
1990,14762447
1991,331941
1992,9836156
1993,3277760
1994,3643399
1995,11803175
1996,20034947
1997,7030227
1998,8123509
1999,2284579
2000,9458563
2001,3920561
2002,16649375
2003,22322124
2004,448492
2005,14523211
2006,8612863
2007,10357958
2008,9316669
2009,2574191
2010,7880557
2011,16256442
2012,8540879
2013,19013741
2014,10983211
2015,11800243
2016,9386685
2017,9237594
2018,10509987
2019,12869172
2020,18499602
2021,1767904
2022,6110384
2023,11576102
2024,12456424
2025,9249104
2026,3661963
2027,1914053
2028,6138053
2029,3304003
2030,2478048
2031,2529731
2032,8683829
2033,3884025
2034,2894181
2035,1744867
2036,7793222
2037,17672185
2038,1793694
2039,8054726
2040,2058822
2041,8776184
2042,8776645
2043,9311397
2044,3661961
2045,1536438
2046,16798668
2047,7692899
2048,16570888
2049,8523015
2050,8328844
2051,11575343
2052,8523015
2053,9510924
2054,17319816
2055,8350435
2056,1759769
2057,1412681
2058,18378918
2059,18931203
2060,8190677
2061,17680954
2062,16570889
2063,16810542
2064,9855227
2065,9250753
2066,16131672
2067,12039820
2068,2802852
2069,8523015
2070,2727646
2071,8119037
2072,17115155
2073,1932650
2074,10431866
2075,8067219
2076,8365276
2077,8928582
2078,2268438
2079,7992939
2080,8147630
2081,16999754
2082,10962411
2083,2783753
2084,9467524
2085,16146460
2086,18416221
2087,16761149
2088,11426363
2089,12935406
2090,15223402
2091,1767648
2092,1906472
2093,9882786
2094,7485940
2095,15499651
2096,8288663
2097,14606149
2098,454027
2099,15999036
2100,15111142
2101,17785752
2102,16829083
2103,7673284
2104,8245998
2105,18494201
2106,642556
2107,1875200
2108,8853248
2109,10486353
2110,15729231
2111,15138203
2112,11034574
2113,16185958
2114,17405999
2115,19474425
2116,16905695
2117,18043104
2118,12616111
